"Label (Grouping)","EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate","COMMUTING TO WORK!!Workers 16 years and over!!Worked from home","COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)"
"    Percent","4.1%","5.8%","(X)","(X)","(X)"
"Marion, IN Micro Area","","","","",""
"    Estimate","(X)","1,977","22.1","53,033","31,660"
"    Percent","7.3%","6.9%","(X)","(X)","(X)"
"Marion, NC Micro Area","","","","",""
"    Estimate","(X)","737","24.6","53,532","35,498"
"    Percent","5.5%","4.0%","(X)","(X)","(X)"
"Marion, OH Micro Area","","","","",""
"    Estimate","(X)","1,277","23.6","55,106","35,605"
"    Percent","5.7%","4.8%","(X)","(X)","(X)"
"Marquette, MI Micro Area","","","","",""
"    Estimate","(X)","1,715","18.3","63,115","29,948"
"    Percent","5.6%","5.6%","(X)","(X)","(X)"
"Marshall, MN Micro Area","","","","",""
"    Estimate","(X)","1,176","15.2","68,919","39,644"
"    Percent","3.0%","9.3%","(X)","(X)","(X)"
"Marshall, MO Micro Area","","","","",""
"    Estimate","(X)","688","17.2","55,396","33,079"
"    Percent","2.7%","6.7%","(X)","(X)","(X)"
"Marshalltown, IA Micro Area","","","","",""
"    Estimate","(X)","1,164","19.9","70,828","40,317"
"    Percent","5.6%","6.1%","(X)","(X)","(X)"
"Martin, TN Micro Area","","","","",""
"    Estimate","(X)","703","21.0","47,769","31,250"
"    Percent","4.0%","5.0%","(X)","(X)","(X)"
"Martinsville, VA Micro Area","","","","",""
"    Estimate","(X)","1,505","23.1","42,458","32,747"
"    Percent","5.0%","6.1%","(X)","(X)","(X)"
"Maryville, MO Micro Area","","","","",""
"    Estimate","(X)","544","15.8","53,917","28,334"
"    Percent","2.3%","5.5%","(X)","(X)","(X)"
"Mason City, IA Micro Area","","","","",""
"    Estimate","(X)","1,882","17.4","63,785","38,652"
"    Percent","3.0%","7.4%","(X)","(X)","(X)"
"Mayagüez, PR Metro Area","","","","",""
"    Estimate","(X)","772","22.7","17,675","16,024"
"    Percent","21.4%","3.0%","(X)","(X)","(X)"
"Mayfield, KY Micro Area","","","","",""
"    Estimate","(X)","1,009","21.0","52,526","34,408"
"    Percent","3.7%","6.7%","(X)","(X)","(X)"
"Maysville, KY Micro Area","","","","",""
"    Estimate","(X)","395","25.4","48,460","32,626"
"    Percent","4.7%","5.5%","(X)","(X)","(X)"
"McAlester, OK Micro Area","","","","",""
"    Estimate","(X)","1,085","20.9","53,054","34,048"
"    Percent","6.3%","6.4%","(X)","(X)","(X)"
"McAllen-Edinburg-Mission, TX Metro Area","","","","",""
"    Estimate","(X)","26,375","22.9","49,371","27,396"
"    Percent","7.6%","7.9%","(X)","(X)","(X)"
"McComb, MS Micro Area","","","","",""
"    Estimate","(X)","413","25.5","40,131","27,920"
"    Percent","7.2%","2.8%","(X)","(X)","(X)"
"McMinnville, TN Micro Area","","","","",""
"    Estimate","(X)","996","27.3","52,948","34,091"
"    Percent","3.9%","5.7%","(X)","(X)","(X)"
"McPherson, KS Micro Area","","","","",""
"    Estimate","(X)","895","15.0","71,250","37,585"
"    Percent","2.1%","5.8%","(X)","(X)","(X)"
"Meadville, PA Micro Area","","","","",""
"    Estimate","(X)","2,308","22.5","58,734","34,541"
"    Percent","5.6%","6.5%","(X)","(X)","(X)"
"Medford, OR Metro Area","","","","",""
"    Estimate","(X)","10,997","18.8","67,690","37,199"
"    Percent","5.5%","11.3%","(X)","(X)","(X)"
"Memphis, TN-MS-AR Metro Area","","","","",""
"    Estimate","(X)","43,088","24.3","62,178","39,034"
"    Percent","6.8%","7.1%","(X)","(X)","(X)"
"Menomonie, WI Micro Area","","","","",""
"    Estimate","(X)","1,982","23.2","69,721","34,209"
"    Percent","3.7%","8.4%","(X)","(X)","(X)"
"Merced, CA Metro Area","","","","",""
"    Estimate","(X)","5,765","30.5","64,772","34,633"
"    Percent","10.7%","5.4%","(X)","(X)","(X)"
"Meridian, MS Micro Area","","","","",""
"    Estimate","(X)","1,352","25.1","45,386","29,622"
"    Percent","6.3%","3.5%","(X)","(X)","(X)"
"Mexico, MO Micro Area","","","","",""
"    Estimate","(X)","456","22.6","51,745","32,955"
"    Percent","3.9%","4.3%","(X)","(X)","(X)"
"Miami, OK Micro Area","","","","",""
"    Estimate","(X)","432","20.1","46,186","30,417"
"    Percent","3.8%","3.6%","(X)","(X)","(X)"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","","","","",""
"    Estimate","(X)","326,589","29.6","69,085","37,974"
"    Percent","5.2%","11.0%","(X)","(X)","(X)"
"Michigan City-La Porte, IN Metro Area","","","","",""
"    Estimate","(X)","2,453","24.5","66,854","38,244"
"    Percent","5.0%","5.0%","(X)","(X)","(X)"
"Middlesborough, KY Micro Area","","","","",""
"    Estimate","(X)","291","24.4","33,658","25,186"
"    Percent","10.0%","4.2%","(X)","(X)","(X)"
"Midland, MI Metro Area","","","","",""
"    Estimate","(X)","3,481","24.7","73,643","42,934"
"    Percent","5.0%","9.3%","(X)","(X)","(X)"
"Midland, TX Metro Area","","","","",""
"    Estimate","(X)","4,695","21.0","89,345","50,104"
"    Percent","3.6%","5.4%","(X)","(X)","(X)"
"Milledgeville, GA Micro Area","","","","",""
"    Estimate","(X)","908","27.9","51,988","33,713"
"    Percent","6.9%","4.8%","(X)","(X)","(X)"
"Milwaukee-Waukesha, WI Metro Area","","","","",""
"    Estimate","(X)","90,662","22.9","72,937","45,320"
"    Percent","3.8%","11.6%","(X)","(X)","(X)"
"Minden, LA Micro Area","","","","",""
"    Estimate","(X)","907","28.8","34,263","23,657"
"    Percent","5.3%","7.1%","(X)","(X)","(X)"
"Mineral Wells, TX Micro Area","","","","",""
"    Estimate","(X)","894","29.6","65,242","37,286"
"    Percent","7.3%","7.5%","(X)","(X)","(X)"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","","","","",""
"    Estimate","(X)","315,021","24.8","94,673","51,083"
"    Percent","3.9%","16.1%","(X)","(X)","(X)"
"Minot, ND Micro Area","","","","",""
"    Estimate","(X)","2,050","20.2","78,112","45,460"
"    Percent","3.7%","5.0%","(X)","(X)","(X)"
"Missoula, MT Metro Area","","","","",""
"    Estimate","(X)","6,670","17.9","66,840","34,642"
"    Percent","4.5%","10.3%","(X)","(X)","(X)"
"Mitchell, SD Micro Area","","","","",""
"    Estimate","(X)","935","14.3","57,432","37,256"
"    Percent","1.5%","7.7%","(X)","(X)","(X)"
"Moberly, MO Micro Area","","","","",""
"    Estimate","(X)","565","22.1","51,480","32,785"
"    Percent","5.3%","5.3%","(X)","(X)","(X)"
"Mobile, AL Metro Area","","","","",""
"    Estimate","(X)","11,331","26.3","55,247","36,872"
"    Percent","5.9%","6.3%","(X)","(X)","(X)"
"Modesto, CA Metro Area","","","","",""
"    Estimate","(X)","15,036","30.8","74,872","39,756"
"    Percent","8.2%","6.6%","(X)","(X)","(X)"
"Monroe, LA Metro Area","","","","",""
"    Estimate","(X)","4,592","23.6","47,351","35,444"
"    Percent","6.6%","5.4%","(X)","(X)","(X)"
"Monroe, MI Metro Area","","","","",""
"    Estimate","(X)","4,795","26.6","72,573","44,277"
"    Percent","5.7%","6.9%","(X)","(X)","(X)"
"Montgomery, AL Metro Area","","","","",""
"    Estimate","(X)","10,262","23.6","60,849","36,521"
"    Percent","5.6%","6.1%","(X)","(X)","(X)"
"Montrose, CO Micro Area","","","","",""
"    Estimate","(X)","2,353","21.1","65,033","37,193"
"    Percent","4.3%","11.5%","(X)","(X)","(X)"
"Morehead City, NC Micro Area","","","","",""
"    Estimate","(X)","2,567","24.0","66,965","35,949"
"    Percent","4.9%","8.5%","(X)","(X)","(X)"
"Morgan City, LA Micro Area","","","","",""
"    Estimate","(X)","688","22.5","47,322","36,594"
"    Percent","5.9%","3.6%","(X)","(X)","(X)"
"Morgantown, WV Metro Area","","","","",""
"    Estimate","(X)","6,776","23.5","60,670","33,165"
"    Percent","6.0%","10.1%","(X)","(X)","(X)"
"Morristown, TN Metro Area","","","","",""
"    Estimate","(X)","3,172","25.6","52,913","33,737"
"    Percent","6.0%","5.2%","(X)","(X)","(X)"
"Moscow, ID Micro Area","","","","",""
"    Estimate","(X)","1,793","18.5","62,258","27,361"
"    Percent","5.3%","9.5%","(X)","(X)","(X)"
"Moses Lake, WA Micro Area","","","","",""
"    Estimate","(X)","3,459","20.0","66,387","36,616"
"    Percent","5.4%","8.1%","(X)","(X)","(X)"
"Moultrie, GA Micro Area","","","","",""
"    Estimate","(X)","810","23.1","47,235","33,480"
"    Percent","6.1%","4.2%","(X)","(X)","(X)"
"Mountain Home, AR Micro Area","","","","",""
"    Estimate","(X)","856","17.4","47,403","30,575"
"    Percent","5.1%","5.7%","(X)","(X)","(X)"
"Mountain Home, ID Micro Area","","","","",""
"    Estimate","(X)","421","22.0","55,000","34,424"
"    Percent","6.4%","3.2%","(X)","(X)","(X)"
"Mount Airy, NC Micro Area","","","","",""
"    Estimate","(X)","1,270","25.9","52,743","34,851"
"    Percent","4.9%","4.1%","(X)","(X)","(X)"
"Mount Gay-Shamrock, WV Micro Area","","","","",""
"    Estimate","(X)","380","27.1","42,194","33,236"
"    Percent","13.3%","4.1%","(X)","(X)","(X)"
"Mount Pleasant, MI Micro Area","","","","",""
"    Estimate","(X)","1,619","18.6","52,638","23,021"
"    Percent","7.2%","5.3%","(X)","(X)","(X)"
"Mount Pleasant, TX Micro Area","","","","",""
"    Estimate","(X)","655","21.1","56,096","33,708"
"    Percent","4.4%","3.6%","(X)","(X)","(X)"
"Mount Sterling, KY Micro Area","","","","",""
"    Estimate","(X)","1,023","28.5","51,889","35,155"
"    Percent","5.0%","5.7%","(X)","(X)","(X)"
"Mount Vernon, IL Micro Area","","","","",""
"    Estimate","(X)","759","19.7","58,384","35,911"
"    Percent","6.5%","4.7%","(X)","(X)","(X)"
"Mount Vernon, OH Micro Area","","","","",""
"    Estimate","(X)","2,856","27.5","71,246","36,433"
"    Percent","3.3%","10.1%","(X)","(X)","(X)"
"Mount Vernon-Anacortes, WA Metro Area","","","","",""
"    Estimate","(X)","6,030","26.6","82,029","44,391"
"    Percent","5.1%","10.6%","(X)","(X)","(X)"
"Muncie, IN Metro Area","","","","",""
"    Estimate","(X)","2,954","21.0","53,377","28,511"
"    Percent","6.1%","5.7%","(X)","(X)","(X)"
"Murray, KY Micro Area","","","","",""
"    Estimate","(X)","725","16.6","48,276","29,054"
"    Percent","4.7%","4.2%","(X)","(X)","(X)"
"Muscatine, IA Micro Area","","","","",""
"    Estimate","(X)","941","19.2","67,427","39,595"
"    Percent","3.5%","4.5%","(X)","(X)","(X)"
"Muskegon, MI Metro Area","","","","",""
"    Estimate","(X)","3,904","22.3","61,347","35,607"
"    Percent","7.5%","5.2%","(X)","(X)","(X)"
"Muskogee, OK Micro Area","","","","",""
"    Estimate","(X)","1,635","21.4","50,289","34,137"
"    Percent","5.7%","6.4%","(X)","(X)","(X)"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","","","","",""
"    Estimate","(X)","19,224","23.4","63,296","33,006"
"    Percent","5.4%","9.3%","(X)","(X)","(X)"
"Nacogdoches, TX Micro Area","","","","",""
"    Estimate","(X)","1,728","21.0","51,153","26,832"
"    Percent","6.6%","6.2%","(X)","(X)","(X)"
"Napa, CA Metro Area","","","","",""
"    Estimate","(X)","7,333","25.6","105,809","48,702"
"    Percent","5.2%","11.0%","(X)","(X)","(X)"
"Naples-Marco Island, FL Metro Area","","","","",""
"    Estimate","(X)","18,624","25.5","82,011","39,572"
"    Percent","4.3%","11.7%","(X)","(X)","(X)"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","","","","",""
"    Estimate","(X)","145,520","27.7","79,020","43,535"
"    Percent","3.8%","14.1%","(X)","(X)","(X)"
"Natchez, MS-LA Micro Area","","","","",""
"    Estimate","(X)","330","21.8","37,726","31,552"
"    Percent","8.9%","2.2%","(X)","(X)","(X)"
"Natchitoches, LA Micro Area","","","","",""
"    Estimate","(X)","372","24.0","41,310","28,658"
"    Percent","8.9%","2.7%","(X)","(X)","(X)"
"New Bern, NC Metro Area","","","","",""
"    Estimate","(X)","3,403","21.3","60,258","33,936"
"    Percent","5.0%","6.4%","(X)","(X)","(X)"
"Newberry, SC Micro Area","","","","",""
"    Estimate","(X)","567","26.0","56,706","35,427"
"    Percent","3.9%","3.4%","(X)","(X)","(X)"
"New Castle, IN Micro Area","","","","",""
"    Estimate","(X)","1,289","25.8","57,632","37,372"
"    Percent","4.5%","6.4%","(X)","(X)","(X)"
"New Castle, PA Micro Area","","","","",""
"    Estimate","(X)","3,720","23.7","57,585","36,741"
"    Percent","6.8%","9.8%","(X)","(X)","(X)"
"New Haven-Milford, CT Metro Area","","","","",""
"    Estimate","(X)","45,158","25.4","81,544","46,763"
"    Percent","6.4%","10.6%","(X)","(X)","(X)"
"New Orleans-Metairie, LA Metro Area","","","","",""
"    Estimate","(X)","49,822","26.1","62,748","39,943"
"    Percent","6.7%","8.6%","(X)","(X)","(X)"
"New Philadelphia-Dover, OH Micro Area","","","","",""
"    Estimate","(X)","2,564","23.2","61,953","37,234"
"    Percent","5.5%","6.1%","(X)","(X)","(X)"
"Newport, OR Micro Area","","","","",""
"    Estimate","(X)","2,309","21.2","57,794","32,352"
"    Percent","7.7%","11.8%","(X)","(X)","(X)"
"Newport, TN Micro Area","","","","",""
"    Estimate","(X)","686","29.5","45,110","32,661"
"    Percent","6.2%","4.7%","(X)","(X)","(X)"
"New Ulm, MN Micro Area","","","","",""
"    Estimate","(X)","1,030","15.7","67,038","40,869"
"    Percent","2.7%","7.7%","(X)","(X)","(X)"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","","","","",""
"    Estimate","(X)","1,237,687","36.4","93,610","51,762"
"    Percent","6.5%","13.0%","(X)","(X)","(X)"
"Niles, MI Metro Area","","","","",""
"    Estimate","(X)","5,971","21.5","60,379","35,974"
"    Percent","6.6%","8.6%","(X)","(X)","(X)"
"Nogales, AZ Micro Area","","","","",""
"    Estimate","(X)","1,081","23.3","51,885","32,114"
"    Percent","9.8%","5.8%","(X)","(X)","(X)"
"Norfolk, NE Micro Area","","","","",""
"    Estimate","(X)","1,509","16.3","63,350","39,268"
"    Percent","2.3%","6.1%","(X)","(X)","(X)"
"North Platte, NE Micro Area","","","","",""
"    Estimate","(X)","651","15.5","63,119","37,168"
"    Percent","3.3%","3.8%","(X)","(X)","(X)"
"North Port-Sarasota-Bradenton, FL Metro Area","","","","",""
"    Estimate","(X)","47,453","25.5","74,469","38,948"
"    Percent","4.3%","13.5%","(X)","(X)","(X)"
"North Vernon, IN Micro Area","","","","",""
"    Estimate","(X)","475","24.6","66,892","39,169"
"    Percent","5.0%","3.7%","(X)","(X)","(X)"
"North Wilkesboro, NC Micro Area","","","","",""
"    Estimate","(X)","2,140","27.6","49,119","31,917"
"    Percent","6.0%","7.6%","(X)","(X)","(X)"
"Norwalk, OH Micro Area","","","","",""
"    Estimate","(X)","1,097","22.9","64,144","37,920"
"    Percent","4.4%","4.1%","(X)","(X)","(X)"
"Norwich-New London, CT Metro Area","","","","",""
"    Estimate","(X)","14,093","24.4","84,755","46,532"
"    Percent","5.1%","10.6%","(X)","(X)","(X)"
"Oak Harbor, WA Micro Area","","","","",""
"    Estimate","(X)","4,657","27.1","82,850","43,493"
"    Percent","5.5%","11.9%","(X)","(X)","(X)"
"Ocala, FL Metro Area","","","","",""
"    Estimate","(X)","12,606","26.4","55,265","33,621"
"    Percent","5.9%","9.0%","(X)","(X)","(X)"
"Ocean City, NJ Metro Area","","","","",""
"    Estimate","(X)","3,122","22.4","83,870","45,589"
"    Percent","6.5%","7.4%","(X)","(X)","(X)"
"Odessa, TX Metro Area","","","","",""
"    Estimate","(X)","2,482","26.2","70,566","45,857"
"    Percent","5.8%","3.4%","(X)","(X)","(X)"
"Ogden-Clearfield, UT Metro Area","","","","",""
"    Estimate","(X)","45,015","23.1","91,022","41,896"
"    Percent","2.7%","13.2%","(X)","(X)","(X)"
"Ogdensburg-Massena, NY Micro Area","","","","",""
"    Estimate","(X)","2,744","20.5","58,339","33,481"
"    Percent","6.3%","6.3%","(X)","(X)","(X)"
"Oil City, PA Micro Area","","","","",""
"    Estimate","(X)","1,620","24.2","59,278","35,135"
"    Percent","6.7%","7.6%","(X)","(X)","(X)"
"Okeechobee, FL Micro Area","","","","",""
"    Estimate","(X)","955","26.7","50,476","33,781"
"    Percent","6.1%","6.3%","(X)","(X)","(X)"
"Oklahoma City, OK Metro Area","","","","",""
"    Estimate","(X)","57,605","23.4","67,963","39,475"
"    Percent","4.5%","8.4%","(X)","(X)","(X)"
"Olean, NY Micro Area","","","","",""
"    Estimate","(X)","2,205","22.4","56,889","35,062"
"    Percent","5.4%","6.8%","(X)","(X)","(X)"
"Olympia-Lacey-Tumwater, WA Metro Area","","","","",""
"    Estimate","(X)","19,922","26.6","88,895","47,622"
"    Percent","5.5%","14.5%","(X)","(X)","(X)"
"Omaha-Council Bluffs, NE-IA Metro Area","","","","",""
"    Estimate","(X)","55,003","20.7","79,634","45,495"
"    Percent","3.4%","11.0%","(X)","(X)","(X)"
"Oneonta, NY Micro Area","","","","",""
"    Estimate","(X)","2,280","23.1","65,778","32,458"
"    Percent","5.0%","8.5%","(X)","(X)","(X)"
"Ontario, OR-ID Micro Area","","","","",""
"    Estimate","(X)","1,328","19.5","55,155","32,065"
"    Percent","5.3%","6.0%","(X)","(X)","(X)"
"Opelousas, LA Micro Area","","","","",""
"    Estimate","(X)","1,694","29.8","44,478","33,204"
"    Percent","6.9%","5.7%","(X)","(X)","(X)"
"Orangeburg, SC Micro Area","","","","",""
"    Estimate","(X)","1,771","29.5","41,020","29,990"
"    Percent","9.2%","5.6%","(X)","(X)","(X)"
"Orlando-Kissimmee-Sanford, FL Metro Area","","","","",""
"    Estimate","(X)","169,631","29.4","71,551","37,051"
"    Percent","5.3%","13.0%","(X)","(X)","(X)"
"Oshkosh-Neenah, WI Metro Area","","","","",""
"    Estimate","(X)","8,031","18.6","70,041","40,739"
"    Percent","2.4%","9.0%","(X)","(X)","(X)"
"Oskaloosa, IA Micro Area","","","","",""
"    Estimate","(X)","645","18.2","65,200","37,431"
"    Percent","3.3%","5.9%","(X)","(X)","(X)"
"Othello, WA Micro Area","","","","",""
"    Estimate","(X)","426","22.3","63,105","30,224"
"    Percent","6.3%","5.3%","(X)","(X)","(X)"
"Ottawa, IL Micro Area","","","","",""
"    Estimate","(X)","3,000","24.6","67,181","38,225"
"    Percent","5.4%","4.3%","(X)","(X)","(X)"
"Ottawa, KS Micro Area","","","","",""
"    Estimate","(X)","1,076","24.1","68,217","40,329"
"    Percent","2.6%","8.5%","(X)","(X)","(X)"
"Ottumwa, IA Micro Area","","","","",""
"    Estimate","(X)","677","19.6","56,209","37,329"
"    Percent","4.4%","4.2%","(X)","(X)","(X)"
"Owatonna, MN Micro Area","","","","",""
"    Estimate","(X)","1,286","18.1","79,722","46,153"
"    Percent","3.4%","6.9%","(X)","(X)","(X)"
"Owensboro, KY Metro Area","","","","",""
"    Estimate","(X)","2,426","21.0","64,366","38,971"
"    Percent","4.3%","4.5%","(X)","(X)","(X)"
"Oxford, MS Micro Area","","","","",""
"    Estimate","(X)","1,354","21.7","59,748","29,232"
"    Percent","2.8%","5.5%","(X)","(X)","(X)"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","","","","",""
"    Estimate","(X)","49,966","26.0","102,141","44,319"
"    Percent","5.3%","12.4%","(X)","(X)","(X)"
"Ozark, AL Micro Area","","","","",""
"    Estimate","(X)","692","22.9","52,813","33,462"
"    Percent","7.8%","3.5%","(X)","(X)","(X)"
"Paducah, KY-IL Micro Area","","","","",""
"    Estimate","(X)","2,151","19.3","57,960","34,102"
"    Percent","3.9%","5.1%","(X)","(X)","(X)"
"Pahrump, NV Micro Area","","","","",""
"    Estimate","(X)","1,321","28.4","53,602","35,803"
"    Percent","9.3%","8.0%","(X)","(X)","(X)"
"Palatka, FL Micro Area","","","","",""
"    Estimate","(X)","2,015","31.7","44,852","30,369"
"    Percent","8.9%","7.9%","(X)","(X)","(X)"
"Palestine, TX Micro Area","","","","",""
"    Estimate","(X)","641","23.2","57,445","34,750"
"    Percent","3.9%","3.2%","(X)","(X)","(X)"
"Palm Bay-Melbourne-Titusville, FL Metro Area","","","","",""
"    Estimate","(X)","31,170","25.6","71,308","39,064"
"    Percent","4.9%","11.6%","(X)","(X)","(X)"
"Pampa, TX Micro Area","","","","",""
"    Estimate","(X)","342","18.9","54,852","34,403"
"    Percent","5.2%","3.7%","(X)","(X)","(X)"
"Panama City, FL Metro Area","","","","",""
"    Estimate","(X)","6,636","24.4","65,999","37,041"
"    Percent","4.0%","7.7%","(X)","(X)","(X)"
"Paragould, AR Micro Area","","","","",""
"    Estimate","(X)","595","22.8","54,879","34,218"
"    Percent","7.5%","3.0%","(X)","(X)","(X)"
"Paris, TN Micro Area","","","","",""
"    Estimate","(X)","469","22.1","48,025","33,815"
"    Percent","4.0%","3.7%","(X)","(X)","(X)"
"Paris, TX Micro Area","","","","",""
"    Estimate","(X)","1,319","19.4","58,246","35,330"
"    Percent","3.9%","5.8%","(X)","(X)","(X)"
"Parkersburg-Vienna, WV Metro Area","","","","",""
"    Estimate","(X)","2,666","21.1","54,175","35,178"
"    Percent","5.1%","7.1%","(X)","(X)","(X)"
"Parsons, KS Micro Area","","","","",""
"    Estimate","(X)","515","14.9","56,143","34,380"
"    Percent","2.4%","5.7%","(X)","(X)","(X)"
"Payson, AZ Micro Area","","","","",""
"    Estimate","(X)","1,628","22.2","55,242","34,446"
"    Percent","6.9%","8.8%","(X)","(X)","(X)"
"Pearsall, TX Micro Area","","","","",""
"    Estimate","(X)","269","19.1","56,042","32,038"
"    Percent","2.6%","3.9%","(X)","(X)","(X)"
"Pecos, TX Micro Area","","","","",""
"    Estimate","(X)","87","17.9","57,329","35,212"
"    Percent","6.9%","1.4%","(X)","(X)","(X)"
"Pella, IA Micro Area","","","","",""
"    Estimate","(X)","1,217","20.5","74,193","44,319"
"    Percent","2.3%","7.4%","(X)","(X)","(X)"
"Pensacola-Ferry Pass-Brent, FL Metro Area","","","","",""
"    Estimate","(X)","27,300","26.0","69,374","36,757"
"    Percent","5.7%","11.9%","(X)","(X)","(X)"
"Peoria, IL Metro Area","","","","",""
"    Estimate","(X)","14,811","21.0","67,718","41,129"
"    Percent","5.3%","8.2%","(X)","(X)","(X)"
"Peru, IN Micro Area","","","","",""
"    Estimate","(X)","651","24.8","59,551","33,977"
"    Percent","4.5%","4.3%","(X)","(X)","(X)"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","","","","",""
"    Estimate","(X)","439,572","29.3","85,555","48,344"
"    Percent","6.1%","14.4%","(X)","(X)","(X)"
"Phoenix-Mesa-Chandler, AZ Metro Area","","","","",""
"    Estimate","(X)","368,905","26.6","79,935","43,713"
"    Percent","4.9%","15.9%","(X)","(X)","(X)"
"Picayune, MS Micro Area","","","","",""
"    Estimate","(X)","1,510","35.1","54,220","33,621"
"    Percent","5.6%","6.7%","(X)","(X)","(X)"
"Pierre, SD Micro Area","","","","",""
"    Estimate","(X)","690","13.9","83,641","45,049"
"    Percent","0.4%","6.3%","(X)","(X)","(X)"
"Pine Bluff, AR Metro Area","","","","",""
"    Estimate","(X)","1,819","21.8","47,559","33,667"
"    Percent","6.8%","5.8%","(X)","(X)","(X)"
"Pinehurst-Southern Pines, NC Micro Area","","","","",""
"    Estimate","(X)","4,768","26.2","77,981","41,506"
"    Percent","4.6%","10.8%","(X)","(X)","(X)"
"Pittsburg, KS Micro Area","","","","",""
"    Estimate","(X)","765","16.7","49,779","30,279"
"    Percent","3.9%","4.0%","(X)","(X)","(X)"
"Pittsburgh, PA Metro Area","","","","",""
"    Estimate","(X)","152,657","26.6","71,283","44,740"
"    Percent","5.1%","13.2%","(X)","(X)","(X)"
"Pittsfield, MA Metro Area","","","","",""
"    Estimate","(X)","6,543","21.0","69,744","40,817"
"    Percent","5.3%","10.5%","(X)","(X)","(X)"
"Plainview, TX Micro Area","","","","",""
"    Estimate","(X)","312","18.2","50,721","32,891"
"    Percent","4.7%","2.3%","(X)","(X)","(X)"
"Platteville, WI Micro Area","","","","",""
"    Estimate","(X)","2,420","20.6","63,497","33,733"
"    Percent","3.1%","9.4%","(X)","(X)","(X)"
"Plattsburgh, NY Micro Area","","","","",""
"    Estimate","(X)","2,246","19.7","67,097","41,479"
"    Percent","4.7%","6.4%","(X)","(X)","(X)"
"Plymouth, IN Micro Area","","","","",""
"    Estimate","(X)","925","22.9","66,016","39,470"
"    Percent","3.0%","4.3%","(X)","(X)","(X)"
"Pocatello, ID Metro Area","","","","",""
"    Estimate","(X)","3,699","17.9","60,704","33,393"
"    Percent","5.3%","8.7%","(X)","(X)","(X)"
"Point Pleasant, WV-OH Micro Area","","","","",""
"    Estimate","(X)","1,058","26.8","54,605","36,144"
"    Percent","3.6%","5.1%","(X)","(X)","(X)"
"Ponca City, OK Micro Area","","","","",""
"    Estimate","(X)","734","17.8","53,746","33,000"
"    Percent","6.2%","3.9%","(X)","(X)","(X)"
"Ponce, PR Metro Area","","","","",""
"    Estimate","(X)","2,283","25.3","19,867","17,882"
"    Percent","15.0%","3.7%","(X)","(X)","(X)"
"Pontiac, IL Micro Area","","","","",""
"    Estimate","(X)","1,043","21.6","68,175","39,569"
"    Percent","3.7%","6.4%","(X)","(X)","(X)"
"Poplar Bluff, MO Micro Area","","","","",""
"    Estimate","(X)","1,111","21.9","46,581","29,360"
"    Percent","5.0%","5.2%","(X)","(X)","(X)"
"Portales, NM Micro Area","","","","",""
"    Estimate","(X)","330","17.2","52,644","28,327"
"    Percent","6.6%","3.8%","(X)","(X)","(X)"
"Port Angeles, WA Micro Area","","","","",""
"    Estimate","(X)","3,434","20.1","66,108","38,027"
"    Percent","5.4%","11.4%","(X)","(X)","(X)"
"Portland-South Portland, ME Metro Area","","","","",""
"    Estimate","(X)","43,800","25.0","84,095","45,483"
"    Percent","3.4%","14.9%","(X)","(X)","(X)"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","","","","",""
"    Estimate","(X)","224,072","25.8","90,451","47,443"
"    Percent","5.1%","17.7%","(X)","(X)","(X)"
"Port Lavaca, TX Micro Area","","","","",""
"    Estimate","(X)","176","18.0","62,267","40,404"
"    Percent","3.4%","1.8%","(X)","(X)","(X)"
"Port St. Lucie, FL Metro Area","","","","",""
"    Estimate","(X)","20,901","27.9","69,429","37,088"
"    Percent","5.5%","10.0%","(X)","(X)","(X)"
"Portsmouth, OH Micro Area","","","","",""
"    Estimate","(X)","1,594","26.8","46,360","34,384"
"    Percent","7.5%","6.1%","(X)","(X)","(X)"
"Pottsville, PA Micro Area","","","","",""
"    Estimate","(X)","3,384","26.7","63,574","40,362"
"    Percent","5.3%","5.3%","(X)","(X)","(X)"
"Poughkeepsie-Newburgh-Middletown, NY Metro Area","","","","",""
"    Estimate","(X)","35,977","33.3","92,870","47,038"
"    Percent","5.2%","10.9%","(X)","(X)","(X)"
"Prescott Valley-Prescott, AZ Metro Area","","","","",""
"    Estimate","(X)","10,236","23.7","62,430","34,148"
"    Percent","4.9%","11.0%","(X)","(X)","(X)"
"Price, UT Micro Area","","","","",""
"    Estimate","(X)","499","17.3","53,734","30,142"
"    Percent","6.7%","6.2%","(X)","(X)","(X)"
"Prineville, OR Micro Area","","","","",""
"    Estimate","(X)","1,131","27.3","74,969","40,257"
